id,reasoning,answer,article_text,sphere,source,date
0,"Статья о финансовых результатах Rivian, американского производителя электромобилей. Хотя Rivian - не российская компания, ее успехи могут косвенно повлиять на российский рынок электромобилей, стимулируя спрос и конкуренцию.",15.0," Москва. 21 февраля. INTERFAX.RU - Американский производитель электромобилей Rivian в четвертом квартале 2024 года сократил чистый убыток вдвое, при этом выручка превысила прогноз экспертов. Как сообщается в пресс-релизе компании, чистый убыток в октябре-декабре снизился до $743 млн, или $0,7 в расчете на акцию, по сравнению с $1,52 млрд, или $1,58 на акцию, за аналогичный период предыдущего года. Скорректированный убыток составил 46 центов на бумагу, что оказалось лучше ожиданий опрошенных FactSet аналитиков в 68 цента. Квартальная выручка Rivian выросла на 32% - до $1,73 млрд. Консенсус-прогноз предполагал $1,4 млрд. Отрицательная скорректированная EBIT компании в 2024 году составила $2,689 млрд против $3,789 млрд годом ранее. Rivian планирует в 2025 году получить отрицательную скорректированную EBIT в диапазоне $1,7-1,9 млрд. Компания намерена реализовать 46-51 тыс. электромобилей, что подразумевает сокращение продаж по сравнению с 51 579 машинами в прошлом году. Капзатраты запланированы в объеме $1,6-1,7 млрд. Автопроизводитель ожидает повышения расходов в этом году из-за планов президента США Дональда Трампа ввести импортные пошлины на продукцию из Канады и Мексики, поскольку у компании есть поставщики в этих странах. Котировки акций Rivian на дополнительной сессии в четверг выросли на 0,4% после публикации отчетности. За последние три месяца капитализация автопроизводителя подскочила почти на 33% (до $13,9 млрд), тогда как индекс Nasdaq Composite за этот период прибавил 5,2%.",Финансы,Интерфакс,2025-02-21
1,"Статья рассказывает о социальной акции ПАО ""Газпром"", направленной на увековечивание памяти героев Великой Отечественной войны.  Данная инициатива не имеет прямого отношения к финансовым показателям компании или отрасли в целом.",0.0," Москва. 21 февраля. INTERFAX.RU - Село Майма в Республике Алтай стало первой точкой этафеты в рамках всероссийской акции ПАО ""Газпром"" , приуроченной к 80-летию Победы в Великой Отечественной войне. Здесь в торжественной обстановке был зажжен Вечный огонь, сообщает пресс-служба группы ""Газпром межрегионгаз"". В мероприятии приняли участие генеральный директор ""Газпром межрегионгаз"" Сергей Густов, заместитель председателя правительства РФ Александр Новак и глава Республики Алтай Андрей Турчак. ""Приближается очень важная для нашей страны дата – День Победы. Вся страна отмечает 80-летие со дня подвига наших предков, наших дедов, родителей. Сегодня стартует важное событие, организованное по решению Президента и утвержденное Председателем Правительства, – программа по зажжению Вечных огней. Это мероприятие посвящено памяти героев, которые отстояли в борьбе с фашизмом нашу Родину, наше будущее, наших детей"", – приводит слова вице-премьера пресс-служба кабмина. Вечный огонь на мемориале в Майме, возведенном в честь земляков, павших в годы войны, раньше работал на сжиженном газе. Теперь он стал первым в Республике, переведенным на сетевой природный газ. Частица пламени для зажжения была доставлена из Санкт-Петербурга — от первого Вечного огня страны на Марсовом поле. Начиная с этого дня по всей России еженедельно будут подключаться к сетевому газу новые и реконструируемые мемориалы. А в преддверии Дня Победы одновременно зажгутся 80 новых огней. Всего запланировано более 120 подключений. Акция ПАО ""Газпром"" ""Храним огонь Победы"" — это не только масштабный проект, но и дань уважения тем, кто отстоял нашу свободу, подчеркивается в сообщении пресс-службы.",Финансы,Интерфакс,2025-02-21
2,"Статья сообщает о значительном убытке ПАО ""Распадская"" в 2024 году, снижении EBITDA, сокращении выручки и денежных средств. Это негативно скажется на стоимости акций компании и, как следствие, на всей отрасли угольной добычи.",-75.0," Москва. 21 февраля. INTERFAX.RU - ПАО ""Распадская"" завершило 2024 год с чистым убытком в размере $133 млн по сравнению с прибылью в $440 млн годом ранее, сообщила компания. Рентабельность по прибыли была отрицательная - минус 8% по сравнению с 20% год назад. EBITDA упала на 58%, до $291 млн ($689 млн в 2023 году, консенсус - $316 млн). Компания определила подразделения, в которых возможно досрочное прекращение добычи с учетом пересмотра производственных планов, затрат, средних цен реализации продукции, налоговой нагрузки и других факторов. Сумма обесценения этих активов составила $205 млн. Компания также признала обесценение активов на $2 млн по итогам переоценки резервов на восстановление участков двух закрытых шахт. Чистый денежный отток от операционной деятельности за вычетом капитальных вложений составил $295 млн (чистый денежный приток в 2023 году - $57 млн). Денежные средства и эквиваленты плюс краткосрочные депозиты сократились на 74% в годовом выражении, до $87 млн на конец 2024 года ($332 млн годом ранее) в связи с финансированием текущей деятельности и капитальных вложений. Capex составил $294 млн по сравнению с $220 млн на фоне продолжения реализации долгосрочной инвестпрограммы. Выручка угольной компании сократилась на 21%, до $1,743 млрд против $2,848 млрд (консенсус - $1,766 млрд). ""В 2024 году компания не смогла полностью выполнить свои производственные планы. Общий объем добычи рядового угля снизился на 2% по сравнению с предыдущим годом и составил 18,5 млн тонн"", - говорится в сообщении.",Финансы,Интерфакс,2025-02-21
4,"Статья фокусируется на динамике рубля и юаня, а также на ценах на нефть. Укрепление рубля может положительно повлиять на российские энергетические компании, так как снижает затраты на импортное оборудование и технологии. Однако, незначительное снижение цен на нефть может оказать негативное влияние. В целом, влияние статьи на стоимость акций в энергетическом секторе оценивается как умеренно положительное.",25.0," Москва. 21 февраля. INTERFAX.RU - На ""Московской бирже"" утром в пятницу рубль дорожает к юаню в рамках подготовки экспортеров к налоговым выплатам февраля. В моменте юань дешевел до 11,907 рубля впервые с 29 августа 2024 года. За первую минуту торгов юань подешевел на 7,95 копейки до 11,9385 рубля. При этом юань оказался на 18,67 копейки ниже уровня действующего официального курса. ""Драйвером укрепления рубля в четверг стали спекулятивные продажи валюты на фоне стремительно растущих ожиданий по снижению геополитических издержек, а также рост активности экспортеров перед февральскими налоговыми выплатами, которые необходимо произвести до конца следующей недели. Считаем, что тренд к укреплению рубля сохранится. Мы оцениваем курс, очищенный от геополитической надбавки, на уровне 85-87 рублей/$1 и 11,5-11,7 рубля/юань. Полагаем, что в ближайшее время вблизи этих значений может произойти стабилизация котировок"", - отмечает управляющий эксперт Центра аналитики и экспертизы ПСБ Денис Попов. Цены на нефть слабо снижаются утром в пятницу после умеренного роста по итогам предыдущей сессии. К 10:08 по Москве апрельские фьючерсы на Brent дешевели на лондонской бирже ICE Futures на 0,24% до $76,3 за баррель. Апрельские фьючерсы на WTI к этому времени дешевели на бирже NYMEX на 0,26%, до $72,3 за баррель. По данным Минэнерго США, коммерческие запасы нефти в стране на прошлой неделе увеличились на 4,63 млн баррелей. Эксперты ожидали роста на 3 млн баррелей. Данные Минэнерго показали, что импорт нефти в США сократился на 488 тысяч баррелей в сутки, а экспорт вырос на 472 тысячи б/с, что в совокупности дает отток в размере 960 тысяч баррелей в сутки, или 6,72 млн баррелей за минувшую неделю.",Энергетика,Интерфакс,2025-02-21
5,"Статья описывает судебное решение о взыскании с Ost-West Handelsbank (бывшего VTB Bank Europe) в пользу Промсвязьбанка значительной суммы. Это событие может положительно повлиять на акции Промсвязьбанка, так как укрепляет его финансовое положение. В то же время, влияние на весь банковский сектор России будет незначительным.",25.0," Москва. 21 февраля. INTERFAX.RU - Арбитражный суд Москвы 19 февраля решил взыскать с Ost-West Handelsbank (OWH SE, ранее VTB Bank Europe) в пользу Промсвязьбанка убытки, причиненные банку в результате блокирования операций по перечислению денежных средств в размере 12,1 млн евро, 11,7 тыс. швейцарских франков и 43,3 тыс. фунтов стерлингов. Как следует из картотеки суда, денежные средства взыскиваются в рублевом эквиваленте (суммарно около 1,8 млрд руб.). Таким образом, суд полностью удовлетворил иск российского банка. Ответчик на заседании в декабре 2024 года письменно ходатайствовал об оставлении иска без рассмотрения в виду наличия в Общих положениях и условиях пункта 6, в соответствии с которым иск к ответчику может быть предъявлен в суд по месту нахождения ответчика, то есть в суд во Франкфурте-на-Майне в Германии. Это ходатайство 19 февраля было отклонено. В апреле 2022 года после введения санкций в отношении ВТБ немецкий регулятор отстранил российский банк от управления ""дочкой"", передав право голоса доверительному управляющему, который принял решение ликвидировать VTB Bank Europe с 1 апреля 2023 года. Процесс ликвидации займет несколько лет. В конце 2023 года VTB Bank Europe сменил название на OWH SE. Промсвязьбанк через Росимущество принадлежит государству. На базе ПСБ создан банк для обслуживания крупных госконтрактов и гособоронзаказа. По итогам 2024 года ПСБ занимает 5-е место по размеру активов в рэнкинге ""Интерфакс-100"", подготовленном ""Интерфакс-ЦЭА"".",Финансы,Интерфакс,2025-02-21
6,"Статья посвящена ценам на хлеб в России и факторам, влияющим на них. Рост цен на хлеб связан с увеличением издержек производителей (транспортировка, упаковка, электроэнергия, кредитные ресурсы).  Это косвенно может повлиять на энергетический сектор, так как рост цен на электроэнергию увеличивает затраты для хлебопекарных предприятий. Однако влияние непрямое и незначительное.",10.0," Москва. 21 февраля. INTERFAX.RU - Ситуация на российском рынке хлеба стабильна, существенного роста цен не наблюдается, сообщает Минсельхоз. ""По состоянию на 12 февраля стоимость хлеба из пшеничной муки у производителей в среднем по стране составляла 68,4 рубля за килограмм, хлеба из ржано-пшеничной муки - 61,6 рубля. Существенного роста цен на указанные виды продукции не наблюдается: за последний месяц он составил 0,1% и 0,6% соответственно"", - говорится в сообщении. ""Ведомости"" сообщили , что крупные производители хлеба и хлебобулочных изделий уведомили ритейлеров об увеличении с 1 марта отпускных цен на 10-12%. Среди причин подорожания хлебобулочных изделий производители в том числе указали изменения в стоимости складской и транспортной логистики, увеличение налоговой нагрузки, рост цен на сырье и пр. По данным Минсельхоза, в 2024 году было произведено примерно 6,3 млн тонн хлеба и хлебобулочных изделий, что на 7,9 тысячи тонн больше, чем в 2023 году. Внутренний рынок насыщен продукцией, для потребителей обеспечен широкий выбор, констатирует ведомство. По его оценке, стабильная ценовая динамика отмечается и на рынке пшеничной муки. Минсельхоз при этом отмечает ""наблюдающийся рост издержек производителей в связи с увеличением затрат на транспортировку, упаковку, электроэнергию и сопутствующие расходы, а также удорожанием кредитных ресурсов"". В числе таких факторов президента Российской гильдии пекарей и кондитеров Юрий Кацнельсон также называет торговую наценку, достигающую 35%. Решить проблему высокой наценки в торговых сетях и способствовать стабилизации цен на хлеб может развитие пекарями собственной розницы и повышение конкуренции в сфере хлебопечения, считает он. По оценке гильдии, рынок хлебобулочной продукции в России по итогам 2024 года составил в 1,1 трлн рублей, что на 5,2% больше, чем в 2023 году.",Энергетика,Интерфакс,2025-02-21
7,"Статья посвящена ценам на хлеб в России и факторам, влияющим на них. Рост цен на хлеб связан с увеличением издержек производителей (транспортировка, упаковка, электроэнергия, кредитные ресурсы).  В то же время, Минсельхоз отмечает стабильную ценовую динамику на рынке хлеба.  Статья не затрагивает другие секторы энергетики.",0.0," Москва. 21 февраля. INTERFAX.RU - Ситуация на российском рынке хлеба стабильна, существенного роста цен не наблюдается, сообщает Минсельхоз. ""По состоянию на 12 февраля стоимость хлеба из пшеничной муки у производителей в среднем по стране составляла 68,4 рубля за килограмм, хлеба из ржано-пшеничной муки - 61,6 рубля. Существенного роста цен на указанные виды продукции не наблюдается: за последний месяц он составил 0,1% и 0,6% соответственно"", - говорится в сообщении. ""Ведомости"" сообщили , что крупные производители хлеба и хлебобулочных изделий уведомили ритейлеров об увеличении с 1 марта отпускных цен на 10-12%. Среди причин подорожания хлебобулочных изделий производители в том числе указали изменения в стоимости складской и транспортной логистики, увеличение налоговой нагрузки, рост цен на сырье и пр. По данным Минсельхоза, в 2024 году было произведено примерно 6,3 млн тонн хлеба и хлебобулочных изделий, что на 7,9 тысячи тонн больше, чем в 2023 году. Внутренний рынок насыщен продукцией, для потребителей обеспечен широкий выбор, констатирует ведомство. По его оценке, стабильная ценовая динамика отмечается и на рынке пшеничной муки. Минсельхоз при этом отмечает ""наблюдающийся рост издержек производителей в связи с увеличением затрат на транспортировку, упаковку, электроэнергию и сопутствующие расходы, а также удорожанием кредитных ресурсов"". В числе таких факторов президента Российской гильдии пекарей и кондитеров Юрий Кацнельсон также называет торговую наценку, достигающую 35%. Решить проблему высокой наценки в торговых сетях и способствовать стабилизации цен на хлеб может развитие пекарями собственной розницы и повышение конкуренции в сфере хлебопечения, считает он. По оценке гильдии, рынок хлебобулочной продукции в России по итогам 2024 года составил в 1,1 трлн рублей, что на 5,2% больше, чем в 2023 году.",Энергетика,Интерфакс,2025-02-21
8,"Статья сообщает о росте прибыли и выручки Booking Holdings, а также о повышении дивидендов. Это положительно скажется на стоимости акций компании. Однако прямое влияние на российский финансовый рынок будет незначительным, так как Booking - американская компания.",5.0," Москва. 21 февраля. INTERFAX.RU - Американская Booking Holdings, оператор онлайн-сервисов для планирования путешествий, увеличила чистую прибыль в четвертом квартале 2024 года почти в пять раз, выручку - на 14%, причем скорректированная прибыль и выручка оказались лучше прогнозов рынка. Как говорится в пресс-релизе компании, чистая прибыль в октябре-декабре составила $1,07 млрд, или $31,95 в расчете на акцию, по сравнению с $222 млн, или $6,28 на акцию, за аналогичный период предыдущего года. Прибыль без учета разовых факторов составила $41,55 на акцию. Квартальная выручка Booking увеличилась на 14%, до $5,47 млрд. Эксперты, опрошенные FactSet, в среднем прогнозировали скорректированную прибыль компании на уровне $36,08 на акцию при выручке в $5,18 млрд. Валовой объем бронирований (без учета отмененных заказов) в минувшем квартале вырос на 17%. Число забронированных ночей повысилось на 13% - до 261 млн. Совет директоров Booking рекомендовал повысить квартальные дивиденды на 10%, до $9,6 на акцию. Дивиденды будут выплачены 31 марта акционерам из реестра на 7 марта. Акции Booking подорожали на 4,3% на дополнительных торгах в четверг. За последние 12 месяцев рыночная стоимость компании подскочила на 28,6%, до $169 млрд.",Финансы,Интерфакс,2025-02-21
9,"Статья сообщает об увеличении уставного капитала компании ""Сибирские аэропорты"", которая управляет аэропортами в регионах России. Это событие может свидетельствовать о планах расширения и развития бизнеса, что потенциально положительно скажется на экономике регионов присутствия и, косвенно, на финансовом секторе.",25.0," Москва. 21 февраля. INTERFAX.RU - ООО ""Сибирские аэропорты"" (входит в структуру ОК ""Русал"" , управляет аэропортами группы) увеличило уставный капитал на 1,2 млрд рублей - до 9,641 млрд рублей, сообщается в материалах ЕГРЮЛ. Соответствующие изменения произошли 20 февраля. Ранее уставный капитал компании составлял 8,441 млрд рублей. Почти 100% компании по-прежнему владеет МКОО ""Гершвин"". Компания ""Сибирские аэропорты"" (прежнее наименование - ""Русал Аэро"") выполняет функции управляющей компании аэропортов Новокузнецка и Братска, ООО ""Тайшетаэро"" (создано для строительства аэропорта в Тайшете Иркутской области, где у ""Русала"" расположен алюминиевый завод), АО ""Аэропорт-Сервис"" (один из операторов аэропорта Южно-Сахалинска), ООО ""Капитал-Авиа"" (Южно-Сахалинск, занимается транспортной обработкой грузов). В мае 2024 года ""Русал Аэро"" выступило учредителем ООО ""Богучаны Аэро"" с целью проработки проекта развития аэропортовой инфраструктуры на севере Красноярского края. В июле 2024 года ООО ""Сибирские аэропорты"" зарегистрировало в Иркутске дочернюю структуру ООО ""Терминал Иркутск"", в августе 2024 года - в Абакане (Хакасия) ООО ""Терминал Абакан"".",Финансы,Интерфакс,2025-02-21
10,"Статья сообщает о росте инфляции в Японии, включая повышение цен на электроэнергию и газ.  Это может косвенно повлиять на энергетический сектор, так как рост цен на энергоносители в одной стране может привести к изменению глобальных цен и спроса.",15.0," Москва. 21 февраля. INTERFAX.RU - В Японии в январе потребительские цены увеличились на 4% в годовом выражении, сообщило Министерство внутренних дел и коммуникаций страны. Инфляция ускорилась по сравнению с 3,6% в декабре и стала максимальной с января 2023 года. Цены без учета свежих продуктов питания (ключевой показатель, отслеживаемый Банком Японии) повысились на 3,2%, продемонстрировав самый существенный подъем с июня 2023 года. Аналитики, опрошенные Trading Economics, в среднем прогнозировали повышение на 3,1% после роста на 3% в декабре. Ключевой показатель инфляции в Японии держится на целевом уровне ЦБ в 2% или выше уже почти три года подряд. Рост цен на продукты питания в стране в январе ускорился до максимальных за пятнадцать месяцев 7,8% (в декабре - 6,4%). Стоимость электроэнергии увеличилась на 18% (на 18,7%), газа - на 6,8% (на 7,8%). Цены на одежду выросли на 2,8% (на 2,9%), мебель и товары для дома - на 3,4% (на 3%). Транспортные услуги подорожали на 2% (на 1,1%), медицинские - на 1,8% (на 1,7%). Тем временем коммуникационные услуги в прошлом месяце подешевели на 0,3% (-2,1%), образовательные - на 1,1% (-1%). Инфляция без учета продуктов питания и энергоносителей в Японии в январе составила 2,5% в годовом выражении против 2,4% в предыдущий месяц. Потребительские цены в Японии в январе к декабрю выросли на 0,5%.",Энергетика,Интерфакс,2025-02-21
