id,reasoning,article_text,sphere,source,date,answer
0,Анализ влияния новости на сектор банковских услуг (Сбербанк).,Сбербанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Сбербанк,https://example.com/news/0,2024-01-01,1
1,Анализ влияния новости на сектор банковских услуг (Промсвязьбанк).,Промсвязьбанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Промсвязьбанк,https://example.com/news/1,2024-01-02,2
2,Анализ влияния новости на сектор банковских услуг (ВТБ).,ВТБ объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,ВТБ,https://example.com/news/2,2024-01-03,3
3,Анализ влияния новости на сектор банковских услуг (Альфа-Банк).,Альфа-Банк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Альфа-Банк,https://example.com/news/3,2024-01-04,4
4,Анализ влияния новости на сектор банковских услуг (Газпромбанк).,Газпромбанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Газпромбанк,https://example.com/news/4,2024-01-05,5
5,Анализ влияния новости на сектор банковских услуг (Россельхозбанк).,Россельхозбанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Россельхозбанк,https://example.com/news/5,2024-01-06,1
6,Анализ влияния новости на сектор банковских услуг (Сбербанк).,Сбербанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Сбербанк,https://example.com/news/6,2024-01-07,2
7,Анализ влияния новости на сектор банковских услуг (Промсвязьбанк).,Промсвязьбанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Промсвязьбанк,https://example.com/news/7,2024-01-08,3
8,Анализ влияния новости на сектор банковских услуг (ВТБ).,ВТБ объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,ВТБ,https://example.com/news/8,2024-01-09,4
9,Анализ влияния новости на сектор банковских услуг (Альфа-Банк).,Альфа-Банк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Альфа-Банк,https://example.com/news/9,2024-01-10,5
10,Анализ влияния новости на сектор банковских услуг (Газпромбанк).,Газпромбанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Газпромбанк,https://example.com/news/10,2024-01-11,1
11,Анализ влияния новости на сектор банковских услуг (Россельхозбанк).,Россельхозбанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Россельхозбанк,https://example.com/news/11,2024-01-12,2
12,Анализ влияния новости на сектор банковских услуг (Сбербанк).,Сбербанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Сбербанк,https://example.com/news/12,2024-01-13,3
13,Анализ влияния новости на сектор банковских услуг (Промсвязьбанк).,Промсвязьбанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Промсвязьбанк,https://example.com/news/13,2024-01-14,4
14,Анализ влияния новости на сектор банковских услуг (ВТБ).,ВТБ объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,ВТБ,https://example.com/news/14,2024-01-15,5
15,Анализ влияния новости на сектор банковских услуг (Альфа-Банк).,Альфа-Банк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Альфа-Банк,https://example.com/news/15,2024-01-16,1
16,Анализ влияния новости на сектор банковских услуг (Газпромбанк).,Газпромбанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Газпромбанк,https://example.com/news/16,2024-01-17,2
17,Анализ влияния новости на сектор банковских услуг (Россельхозбанк).,Россельхозбанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Россельхозбанк,https://example.com/news/17,2024-01-18,3
18,Анализ влияния новости на сектор банковских услуг (Сбербанк).,Сбербанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Сбербанк,https://example.com/news/18,2024-01-19,4
